backend,device,dtype,size,n_end,time
numpy,cpu,float64,4,4,0.018177353000282892
numpy,cpu,float64,4,6,0.05916259699915827
numpy,cpu,float64,4,8,0.14134173700040265
numpy,cpu,float64,4,10,0.29304714600039006
numpy,cpu,float64,4,12,0.5106041779999941
numpy,cpu,float64,4,14,0.8347577429994999
numpy,cpu,float64,16,2,0.002860746999431285
numpy,cpu,float64,16,4,0.018368414999713423
numpy,cpu,float64,16,6,0.06016888900012418
numpy,cpu,float64,16,8,0.14662562500052445
numpy,cpu,float64,16,10,0.30043554099938774
numpy,cpu,float64,16,12,0.5288059400008933
numpy,cpu,float64,16,14,0.8547145269985776
numpy,cpu,float64,64,2,0.00278227600028913
numpy,cpu,float64,64,4,0.01865245800036064
numpy,cpu,float64,64,6,0.06361898300019675
numpy,cpu,float64,64,8,0.16203330099961022
numpy,cpu,float64,64,10,0.32597896700099227
numpy,cpu,float64,64,12,0.6003344150012708
numpy,cpu,float64,64,14,0.9941187990007165
numpy,cpu,float64,256,2,0.0031852399988565594
numpy,cpu,float64,256,4,0.023381558999972185
numpy,cpu,float64,256,6,0.0874934179992124
numpy,cpu,float64,256,8,0.2889842540007521
numpy,cpu,float64,256,10,0.4908056249987567
numpy,cpu,float64,256,12,0.8979901990005601
numpy,cpu,float64,256,14,1.4902537600009964
numpy,cpu,float64,1024,2,0.005300327999066212
numpy,cpu,float64,1024,4,0.04584564600008889
numpy,cpu,float64,1024,6,0.20972382100080722
numpy,cpu,float64,1024,8,0.789821475998906
numpy,cpu,float64,1024,10,1.273579989998325
numpy,cpu,float64,1024,12,2.340205541000614
numpy,cpu,float64,1024,14,4.02987719399971
